dataset,approach,model,n,mean,median,std,min,max
mine,kggen,gpt4o,93,65.87806451612903,66.67,18.827224297504024,13.33,100.0
mine,kggen,qwen3_14b,100,58.8661,60.0,21.930983922067885,13.33,100.0
mine,kggen,qwen3_8b,100,54.7334,53.33,22.0768918654778,0.0,100.0
mine,rakg,gpt4o,100,74.33319999999999,73.33,16.367469314466426,13.33,100.0
mine,rakg,qwen3_14b,100,61.3333,60.0,17.76388617701656,13.33,93.33
mine,rakg,qwen3_8b,100,73.80030000000001,73.33,15.121836823283076,33.33,100.0
mine,our_approach,gpt4o,100,93.3991,93.33,7.512486817958485,66.67,100.0
mine,our_approach,qwen3_14b,100,90.8663,93.33,9.172275688726328,53.33,100.0
mine,our_approach,qwen3_8b,100,83.4,86.67,11.174833153116872,53.33,100.0
redocred,kggen,gpt4o,15,49.20666666666666,46.67,22.19321027301418,13.33,86.67
redocred,kggen,qwen3_14b,15,46.698,46.67,23.868168258163422,13.33,93.33
redocred,kggen,qwen3_8b,15,47.36466666666666,40.0,16.652401975557627,28.57,86.67
redocred,rakg,gpt4o,15,51.42866666666668,46.67,15.398911592129563,28.57,80.0
redocred,rakg,qwen3_14b,15,54.794000000000004,53.33,13.217662829209509,26.67,80.0
redocred,rakg,qwen3_8b,15,55.144666666666666,53.33,14.612001399154355,26.67,86.67
redocred,our_approach,gpt4o,15,80.19066666666666,80.0,13.832847123985559,46.67,100.0
redocred,our_approach,qwen3_14b,15,79.81,80.0,10.340691143890401,53.33,100.0
redocred,our_approach,qwen3_8b,15,64.15933333333332,60.0,17.72843007400511,33.33,100.0
scierc,kggen,gpt4o,100,66.2296,66.67,18.18204603008143,0.0,100.0
scierc,kggen,qwen3_14b,100,53.810100000000006,53.33,20.343025413885712,7.14,100.0
scierc,kggen,qwen3_8b,100,52.524399999999986,53.33,18.634395365559893,6.67,93.33
scierc,rakg,gpt4o,100,33.3384,33.33,20.38030233926867,0.0,86.67
scierc,rakg,qwen3_14b,100,45.580099999999995,46.67,18.846017059049906,0.0,85.71
scierc,rakg,qwen3_8b,100,63.974799999999995,65.48,18.635630200237397,0.0,100.0
scierc,our_approach,gpt4o,100,80.15050000000001,80.0,13.935946352867465,30.77,100.0
scierc,our_approach,qwen3_14b,100,78.7413,80.0,15.974295455825272,33.33,100.0
scierc,our_approach,qwen3_8b,100,68.0972,73.33,17.43407675100692,26.67,100.0
